id,brand,model,description,price,list_1,list_2,list_3,list_4,list_5,list_6,list_7,list_8,list_9
10059,"O.A. DISTRIBUCIONES S.A.",,"CONS INT Papel Comandera",2638.36,0,2638.36,2638.36,2638.36,2638.36,2638.36,2849.43,2902.31,3034.17
10112,"O.A. DISTRIBUCIONES S.A.","consumo interno","CONS INT Azucar x 1 Kg",1118.46,0,1118.46,1118.46,1118.46,1118.46,1118.46,1208.00,1230.34,1286.32
10113,"O.A. DISTRIBUCIONES S.A.","consumo interno","CONS INT Yerba x 500 g",1784.51,0,1784.51,1784.51,1784.51,1784.51,1784.51,1927.37,1963.15,2052.33
10114,"O.A. DISTRIBUCIONES S.A.","consumo interno","CONS INT Vasos Termicos 180 cc x 25 u",130.02,0,130.02,130.02,130.02,130.02,130.02,140.42,143.01,149.52
10115,"O.A. DISTRIBUCIONES S.A.",,"CONS INT Resmas A4",2838.89,0,2838.89,2838.89,2838.89,2838.89,2838.89,3066.14,3122.84,3264.93
10116,"O.A. DISTRIBUCIONES S.A.","consumo interno","CONS INT Broches Caja",691.22,0,691.22,691.22,691.22,691.22,691.22,746.52,760.37,794.92
10117,"O.A. DISTRIBUCIONES S.A.",,"CONS INT Papel Higienico x 300 Mts (1 Rollo )(1046)",2898.79,0,2898.79,2898.79,2898.79,2898.79,2898.79,3130.84,3188.74,3333.83
10118,"O.A. DISTRIBUCIONES S.A.",,"CONS INT Toallas Intercaladas Baño (1 Paquete )(1029)",3566.51,0,3566.51,3566.51,3566.51,3566.51,3566.51,3852.02,3923.25,4101.76
10119,"O.A. DISTRIBUCIONES S.A.","consumo interno","CONS INT Jabon Liquido Manos",4134.54,0,4134.54,4134.54,4134.54,4134.54,4134.54,4465.52,4548.10,4755.04
10120,"O.A. DISTRIBUCIONES S.A.","consumo interno","CONS INT Etiquetas 100 x 100 ( 1 Rollo )",2638.36,0,2638.36,2638.36,2638.36,2638.36,2638.36,2849.43,2902.31,3034.17
10121,"O.A. DISTRIBUCIONES S.A.","consumo interno","CONS INT Ribbons",579.37,0,579.37,579.37,579.37,579.37,579.37,625.72,637.34,666.29
10123,"O.A. DISTRIBUCIONES S.A.","consumo interno","CONS INT Toner Fotocop - Logistica ( 3615 )",24443.79,0,24443.79,24443.79,24443.79,24443.79,24443.79,26399.29,26887.10,28110.89
10124,"O.A. DISTRIBUCIONES S.A.",,"CONS INT Toner Admin - Super - Mercado (3320)",42225.12,0,42225.12,42225.12,42225.12,42225.12,42225.12,45605.28,46448.64,48562.08
10126,"O.A. DISTRIBUCIONES S.A.","consumo interno","CONS INT Lavandina x 5 Lts",1633.71,0,1633.71,1633.71,1633.71,1633.71,1633.71,1764.49,1797.12,1878.89
10127,"O.A. DISTRIBUCIONES S.A.",,"CONS INT Desinfectante x 5 Lts",6911.85,0,6911.85,6911.85,6911.85,6911.85,6911.85,7465.15,7603.20,7949.15
10128,"O.A. DISTRIBUCIONES S.A.","consumo interno","CONS INT Saquito Te x 25 u",194.79,0,194.79,194.79,194.79,194.79,194.79,210.38,214.27,224.02
10130,"O.A. DISTRIBUCIONES S.A.","consumo interno","CONS INT Saquito Mate Cocido x 50 u",811.58,0,811.58,811.58,811.58,811.58,811.58,876.54,892.75,933.37
10132,"O.A. DISTRIBUCIONES S.A.","consumo interno","CONS INT Stride Limpiador Maquina",3605.35,0,3605.35,3605.35,3605.35,3605.35,3605.35,3893.78,3966.04,4146.23
10134,"O.A. DISTRIBUCIONES S.A.","consumo interno","CONS INT Detergente x 5 Lts",9538.35,0,9538.35,9538.35,9538.35,9538.35,9538.35,10301.91,10492.42,10969.83
10136,"O.A. DISTRIBUCIONES S.A.","consumo interno","CONS INT Agua Destilada x 5 Lts",251.33,0,251.33,251.33,251.33,251.33,251.33,271.44,276.47,289.03
10142,"O.A. DISTRIBUCIONES S.A.","consumo interno","CONS INT Toallas Cocina (1 Rollo Grande )(1028)",5219.49,0,5219.49,5219.49,5219.49,5219.49,5219.49,5637.32,5741.57,6002.81
10146,"O.A. DISTRIBUCIONES S.A.","consumo interno","CONS INT Film Strech",8412.93,0,8412.93,8412.93,8412.93,8412.93,8412.93,9085.99,9254.38,9675.36
10148,"O.A. DISTRIBUCIONES S.A.","consumo interno","CONS INT Escoba",288.93,0,288.93,288.93,288.93,288.93,288.93,312.04,317.83,332.27
10152,"O.A. DISTRIBUCIONES S.A.","consumo interno","CONS INT Naftalina ( 1 Bolsita )",17872.61,0,17872.61,17872.61,17872.61,17872.61,17872.61,19303.33,19661.72,20554.85
10158,"O.A. DISTRIBUCIONES S.A.","consumo interno","CONS INT Trapo De Piso",1.52,0,1.52,1.52,1.52,1.52,1.52,1.64,1.67,1.75
10160,"O.A. DISTRIBUCIONES S.A.","consumo interno","CONS INT Escobillon",196.00,0,196.00,196.00,196.00,196.00,196.00,211.68,215.61,225.40
10162,"O.A. DISTRIBUCIONES S.A.","consumo interno","CONS INT Lampara LED Galpon",10865.90,0,10865.90,10865.90,10865.90,10865.90,10865.90,11734.80,11952.30,12495.90
10164,"O.A. DISTRIBUCIONES S.A.","consumo interno","CONS INT Optimizador Gas Oil x 950 cm3 (Generador)",1.52,0,1.52,1.52,1.52,1.52,1.52,1.64,1.67,1.75
10166,"O.A. DISTRIBUCIONES S.A.","consumo interno","CONS INT Bolsas Residuos 45 x 60",476.50,0,476.50,481.19,486.04,495.43,502.78,514.62,524.17,547.96
10168,"O.A. DISTRIBUCIONES S.A.",,"CONS INT Cinta Embalar Ancha ( 1 Cinta )",1.51,0,1.51,1.51,1.51,1.51,1.51,1.63,1.66,1.73
10171,"O.A. DISTRIBUCIONES S.A.","consumo interno","CONS INT Banditas Elasticas",1052.43,0,1052.43,1052.43,1052.43,1052.43,1052.43,1136.63,1157.68,1210.30
